Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
ATP (P3),8a  ***,Lead dog,ChloeJ,"Tried this over a few days after finally committing to an 8a to project. Gutted to not get this before the end of the trip, especially when I got to the last droppable move on my final redpoint. Felt really fresh and opted to do the first 3 clips on the 8a and this must have taken just enough out of me to stop me getting to the jugs. Need to be more prepared to skip clips - especially when 35m off the deck!",17/Dec/22,Masriudoms,Sport,French,Spain
Inhumana al Forn de Pa,6c+  **,Lead O/S,ChloeJ,"Good route, nice pockets on this!",17/Dec/22,Masriudoms,Sport,French,Spain
Pinche Lupita,7c+  ***,Lead dog,ChloeJ,"Single working go. Very burly. Couldn&rsquo;t find a nice sequence for the top boulder. Thought this was fair for the grade, maybe a hold has fallen off the top? ",09/Dec/22,Masriudoms,Sport,French,Spain
Los Rancios de la Aldea,8a  ***,Lead dog,ChloeJ,"Single working go. Good route, could do all the moves.",08/Dec/22,Masriudoms,Sport,French,Spain
ATP (P2),7c  ***,Lead RP,ChloeJ,First time truly doing a 7c second go. Brilliant climbing up to here!,07/Dec/22,Masriudoms,Sport,French,Spain
Guirlache,6c  **,Lead O/S,ChloeJ,Pumpy and harder at the top,05/Dec/22,Margalef - Zona del Panta North,Sport,French,Spain
Carn de Canò,7c  ,Lead dog,ChloeJ,A handful more tries today. High point was the deep pocket at 4th clip. Psyched to be getting close to breaking through to the top.,05/Dec/22,Margalef - Zona del Panta North,Sport,French,Spain
Carn de Canò,7c  ,Lead dog,ChloeJ,Great route that I tried twice on this day. Will try again imminently!,04/Dec/22,Margalef - Zona del Panta North,Sport,French,Spain
Transilvania,8a  ***,Lead dog,ChloeJ,"One working go to get a feel for the route. Found the bottom very hard and could barely use some of the slippery, shallow pockets on the crux. Thought the top was good though. Undecided whether I will try it again.",04/Dec/22,Margalef - Zona del Panta North,Sport,French,Spain
Yihad,7b+  ***,Lead dog,"Lary Arce, will smith11, ChloeJ",,02/Dec/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
La Inviable,7c  ,Lead dog,"Lary Arce, will smith11, ChloeJ",First time pulling on monos in anger. Glad my fingers held up!,02/Dec/22,Margalef - Zona Ermita San Salvador,Sport,French,Spain
Devora Hombres,7c+  ***,Lead dog,ChloeJ,Fun to try this. Did all the moves but need to link the middle section and tricky clip before. Rest is largely on good holds though some are loose/crumbly. Cool climbing though!,01/Dec/22,Santa Linya,Sport,French,Spain
Trio Ternura,8a  **,Lead dog,ChloeJ,Thought this would be a likely project as I had done the second half by ticking Arceologica. Was rather shut down by the very bouldery and reachy (for me) first half. Keen to come back after more training!,30/Nov/22,Santa Linya,Sport,French,Spain
Arqueologico,7c  **,Lead RP,ChloeJ,"3rd go, I was extremely surprised to get to the top! Very burly and not so much my style - I was pleased to get this in dying light with moral support and torch light from some very friendly Norwegians. Psyched to do something so steep, this quickly!",28/Nov/22,Santa Linya,Sport,French,Spain
Meneo Canario,7b  **,Lead dog,ChloeJ,"Tried this a few times but never fresh and didn&rsquo;t get round to finishing it unfortunately. Good steep climbing at the grade, tufa technique rather crucial.",28/Nov/22,Santa Linya,Sport,French,Spain
Primera Línea,7c+  ***,Lead RP,ChloeJ,Brilliant route with only one or two particularly slopey holds. Felt as hard as the 8a I&rsquo;ve done and took a similar amount of time (7-10 tries over 5 days). Very varied and completely awesome!,26/Nov/22,Terradets,Sport,French,Spain
Derribos Arias,7b+  ***,Lead dnf,ChloeJ,Unsuccessful flash attempt ,23/Nov/22,Terradets,Sport,French,Spain
Occident,7c  ***,Lead dog,,,20/Nov/22,Terradets,Sport,French,Spain
Jam Sesión,7b  ***,Lead O/S,ChloeJ,"Was devious and went out right at the crux. Great stamina climb with few distinctly hard moves. Not sure I&rsquo;ve ever started the day by onsighting a 7b, putting the clips in. Must be my style&hellip;?",19/Nov/22,Terradets,Sport,French,Spain
Primera Línea,7c+  ***,Lead dnf,,,19/Nov/22,Terradets,Sport,French,Spain
El Latido del Miedo,8a  ***,Lead dog,,,19/Nov/22,Terradets,Sport,French,Spain
Problem 18 La balance,V5  ,Sent x,ChloeJ,Took me too long time to get this. Burly as hell and yet quite techy too!,17/Nov/22,Targasonne Boulders,Bouldering,Font,France
Problem 52 Devoreur de Lumiere,V5  **,Sent x,ChloeJ,,16/Nov/22,Targasonne Boulders,Bouldering,Font,France
Problem 51 Transversion,V0+  **,Sent x,ChloeJ,Good little corner climb. We did the sit which is probably V2/3,16/Nov/22,Targasonne Boulders,Bouldering,Font,France
Problem 57 Pleasure dome (Stand Start),V4+  ,Sent x,ChloeJ,Pretty burly!,15/Nov/22,Targasonne Boulders,Bouldering,Font,France
Problem 20 6a Ziza,V3  ,Sent x,ChloeJ,Our first problem at Targasonne. Great burly granite laybacking,15/Nov/22,Targasonne Boulders,Bouldering,Font,France
Abolition des Privilèges Extension,7c  ***,Lead dog,ChloeJ,"Tried this over 2-3 days. Brilliant route and gutted to not get the tick. Oh well, will have to go back!",13/Nov/22,Chateauvert,Sport,French,France
Le Magicien d'Oz,7a+  ***,Lead O/S,ChloeJ,,12/Nov/22,Chateauvert,Sport,French,France
Les Frontiers du Néant,7a  ***,Lead β,ChloeJ,,11/Nov/22,Chateauvert,Sport,French,France
Abolition des Privilèges,7a+  ***,Lead RP,ChloeJ,"Good route, albeit rather polished. Frustrating to not work out the crux on the O/S.",07/Nov/22,Chateauvert,Sport,French,France
Le Chmatex,7a  ***,Lead O/S,ChloeJ,Lovely climb - feels like a bit of Spain or Kalymnos!,07/Nov/22,Chateauvert,Sport,French,France
L'esprit du Rat,6b+  ***,Lead O/S,ChloeJ,,07/Nov/22,Chateauvert,Sport,French,France
L'ange en Décomposition,7a  ***,AltLd O/S,ChloeJ,Led the 7a pitch which has to be one of the best bits of climbing I&rsquo;ve done anywhere. Pretty technical and rock solid for the grade - I got to the chains with nothing left in reserve but a beaming smile!,06/Nov/22,Barre de l'Escalès (Verdon),Sport,French,France
Pour un bebe fluo L1 + L2,7b+  ***,Lead RP,ChloeJ,Felt nails on every working go and both redpoint attempts. Strangely felt easy on the successful burn!,04/Nov/22,Moustiers-Sainte-Marie,Sport,French,France
Le voleur de boulettes,7a  **,Lead RP,ChloeJ,Good pocket action!,04/Nov/22,Moustiers-Sainte-Marie,Sport,French,France
Smiling Robert ,6c  ,Lead O/S,ChloeJ,,02/Nov/22,Le Jardin des Dindes,Sport,French,France
The British Lizard ,7a+  ,Lead RP,ChloeJ,,02/Nov/22,Le Jardin des Dindes,Sport,French,France
Pequena,7c+  ,Lead dog,ChloeJ,,31/Oct/22,La Ramirole (Verdon),Sport,French,France
Série Limitée,7a  ***,AltLd O/S,ChloeJ,"Hell of an outing and my hardest multi pitch to date. Found the first few pitches quite techy and (in hindsight) surprisingly tiring. Top 4 pitches are stunning! but a lot more strenuous, albeit more generously bolted. Got down as it was going dark despite an early start. ",29/Oct/22,Couloir Samson,Sport,French,France
Triste Lune,8a+  ***,Lead dnf,ChloeJ,,26/Oct/22,Eycharme (Verdon),Sport,French,France
Trous Secs,6c  **,AltLd O/S,ChloeJ,First excursion in the Verdon. Did in 4 pitches from the tree belay. ,25/Oct/22,Barre de l'Escalès (Verdon),Sport,French,France
Pour un bebe fluo L1 + L2,7b+  ***,Lead dog,ChloeJ,"Great, long route. Look forward to trying again soon. Very varied with a fierce pocket section and much steeper top, thankfully with a fair few jugs",23/Oct/22,Moustiers-Sainte-Marie,Sport,French,France
Integrale (?),6c  ***,Lead dog,ChloeJ,Had an o/s attempt which ended at the top of the pillar at around 2/3 height. Thought some holds must have broken off as it seemed incredibly hard from then on?,23/Oct/22,Moustiers-Sainte-Marie,Sport,French,France
Palavar-les-flots,5a  ***,AltLd O/S,ChloeJ,Big outing with lots of exposure! ,19/Oct/22,Ailefroide - West Side of the Valley,Sport,French,France
Quand on nos que l'armour,7a  ,Lead O/S,ChloeJ,Very good,17/Oct/22,Rocher Baron,Sport,French,France
Je n'ai qu'une seule vie,6b+  **,Lead O/S,ChloeJ,,17/Oct/22,Rocher Baron,Sport,French,France
Chaque heure et chaque jour,7b+  ,Lead dog,ChloeJ,Reachy crux. Was disappointed to not work it out.,17/Oct/22,Rocher Baron,Sport,French,France
OPA vertical,6c  ,Lead O/S,ChloeJ,Good but sharp ,16/Oct/22,Rocher Maubert,Sport,French,France
Bras moisis,6b+  ,Lead β,ChloeJ,,16/Oct/22,Rocher Maubert,Sport,French,France
Guisane airlines,6a  ,Lead O/S,ChloeJ,"Good route, just not 6a - more like 6b/+",16/Oct/22,Rocher Maubert,Sport,French,France
Steep pocket route,6c+  **,Lead O/S,ChloeJ,Great route with most of the interest in the starting boulder. Seems to have been bolted since the 2022 Brian&ccedil;on guide was published. Not sure of the true name but have proposed 6c+ and 2 stars.,16/Oct/22,Rocher Maubert,Sport,French,France
Staple Diet,7b  ***,Lead RP,ChloeJ,"Good to finally get this done. Felt easy in the end, guess I just needed to be fresh lol.",11/Oct/22,Witches Point,Sport,French,Wales
I can't mono,V5+  ,Sent x,ChloeJ,,06/Oct/22,Dimmings Dale,Bouldering,Font,England
Lockit to the Pockit,V3+  ,Sent x,ChloeJ,,06/Oct/22,Dimmings Dale,Bouldering,Font,England
Red 17b (Le Flipper),V4  ***,Sent x,"richi3d10, ChloeJ, kishanvekaria, Sylvan Chouhan, Sid Sherborne, Niamh Gibson",Hard squeeze at the top!,30/Sep/22,91.1 ,Bouldering,Font,France
Le Toit du Cul du Chien,V6  ***,Sent x,"Sid Sherborne, Niamh Gibson, Sylvan Chouhan, ChloeJ",Stunning problem. Took me a while to commit dynamically over the lip.,28/Sep/22,Le Cul de Chien,Bouldering,Font,France
La Cascade (Red 4),V0+  ,Sent β,ChloeJ,,26/Sep/22,Franchard Isatis,Bouldering,Font,France
Le Poirier (Red 23),V1  *,Sent rpt,ChloeJ,,26/Sep/22,Franchard Isatis,Bouldering,Font,France
Cortomaltèse,V5+  **,Sent dnf,,,25/Sep/22,Bas Cuvier,Bouldering,Font,France
Beatle Juice,V7  ***,Sent dnf,Sid Sherborne,All moves but 2 this time. Need to work the crux throw and one of the higher compression moves.,25/Sep/22,Franchard Cuisiniere,Bouldering,Font,France
La Marie Rose (Red 22),V3  ***,Sent x,"kishanvekaria, ChloeJ","Brilliant problem, despite the polish.",25/Sep/22,Bas Cuvier,Bouldering,Font,France
Le Tiroir / Rien de Bon (Red 22),V3+  ,Sent x,Sid Sherborne,,22/Sep/22,La Roche aux Sabots,Bouldering,Font,France
Passage à l'Acte (Red 20),V2  **,Sent x,"kishanvekaria, Sid Sherborne",Brilliant problem!,22/Sep/22,La Roche aux Sabots,Bouldering,Font,France
L'Auriculaire - Toit aux Frelons (Red 34),V3  *,Sent dnf,"ChloeJ, kishanvekaria, Sylvan Chouhan",Close but no cigar,22/Sep/22,La Roche aux Sabots,Bouldering,Font,France
Le Gout du Jour (Red 26),V1  ,Sent x,"ChloeJ, Sylvan Chouhan, Niamh Gibson",Found this pretty tiring at the end of the day. Great problem though!,22/Sep/22,La Roche aux Sabots,Bouldering,Font,France
Fine de Champagne (Blue 41),V0-  *,Sent x,"ChloeJ, kishanvekaria",,22/Sep/22,La Roche aux Sabots,Bouldering,Font,France
Da Moskitov,V5  ,Sent x,"kishanvekaria, Niamh Gibson, ChloeJ, richi3d10, Sylvan Chouhan",,19/Sep/22,Franchard Cuisiniere,Bouldering,Font,France
Modus Vivendi,V5  *,Sent x,"Sylvan Chouhan, Niamh Gibson",,18/Sep/22,Apremont,Bouldering,Font,France
La Fenetre,V2  **,Sent x,Sid Sherborne,,18/Sep/22,Apremont,Bouldering,Font,France
Knees,V6  ***,Sent dnf,Sid Sherborne,,18/Sep/22,Apremont,Bouldering,Font,France
Ultramarine Blue 1,V0  ,Sent x,Sid Sherborne,,18/Sep/22,Apremont,Bouldering,Font,France
Égoïste,V6  **,Sent dnf,"richi3d10, Sid Sherborne, Sylvan Chouhan",,18/Sep/22,Apremont,Bouldering,Font,France
Ultramarine Blue 1,V0  ,Sent β,"Sylvan Chouhan, Niamh Gibson, richi3d10, kishanvekaria, ChloeJ",,18/Sep/22,Apremont,Bouldering,Font,France
Problem 23 (Rockfax),V2  ,Sent β,"ChloeJ, kishanvekaria",,10/Sep/22,St. Bees Head,Bouldering,V-grades,England
Boulder K - Problem 42 (LakesBloc),V5+  *,Sent x,"ChloeJ, kishanvekaria",Good wall climb!,10/Sep/22,St. Bees Head,Bouldering,Font,England
Phat Arete / Problem 20 (Rockfax),V5  *,Sent x,"ChloeJ, kishanvekaria",,10/Sep/22,St. Bees Head,Bouldering,Font,England
The Rail / Problem 28 (Rockfax),V5+  ,Sent x,"ChloeJ, kishanvekaria",,10/Sep/22,St. Bees Head,Bouldering,Font,England
Super Dupont,7b+  ***,Lead RP,ChloeJ,"3rd go/2nd RP. Put clips in, Fell off the low Boulder on 1st RP then went next go.  ",09/Sep/22,Chapel Head Scar,Sport,French,England
Almost Me,7c  ***,Lead dog,ChloeJ,One of the best sport climbs I&rsquo;ve tried in the south! Had my first go in a quick evening session. Keen to come back for this.,07/Sep/22,Ban-y-gor,Sport,French,England
The Giant's Spine,V3  **,Sent O/S,ChloeJ,Very good,04/Sep/22,Biblins Cave,Bouldering,Font,England
Surfing The Wave,V5  **,Sent β,ChloeJ,,04/Sep/22,Biblins Cave,Bouldering,Font,England
Freedom Direct,E1 5b ***,2nd O/S,ChloeJ,,03/Sep/22,Wintour's Leap,Trad,British,England
Wurlitzer,E1 5c ***,2nd O/S,ChloeJ,Brilliant top pitch!,03/Sep/22,Wintour's Leap,Trad,British,England
Back in Black,7b+  ***,Lead dog,gowain,Managed all moves and linked from ground into crux but just wasn&rsquo;t quite fresh enough,29/Aug/22,Dinbren Crags,Sport,French,Wales
Central Pillar,8a  ***,Lead dog,ChloeJ,Rather brilliant route. Didn&rsquo;t stick the dyno and couldn&rsquo;t work out the thin moves above but keen to try this again.,28/Aug/22,Castell y Gwynt,Sport,French,Wales
Super Direct,E1 5b ***,AltLd O/S,ChloeJ,Led the middle pitch,27/Aug/22,Dinas Mot,Trad,British,Wales
Grand Canyon,7b+  ***,Lead dog,gowain,Second time trying this. Got to the dead point/ slappy crux but had no gas whatsoever. ,26/Aug/22,Pantymwyn (Devil's Gorge),Sport,French,Wales
It Came from Beneath the Sea,7b  ***,Lead O/S,gowain,,25/Aug/22,The Diamond,Sport,French,Wales
Rub-a-Dub-Dub,7a  ***,Lead RP,gowain,,25/Aug/22,The Diamond,Sport,French,Wales
Route 3,6c  ***,Lead O/S,"Mark Wipat, ChloeJ","Not a good route to try mid-summer in direct sun. Fun moves nonetheless, pretty thin!",21/Aug/22,Castle Inn Quarry,Sport,French,Wales
Aphelion,6a  **,Lead β,"Mark Wipat, Alina, Nika, ChloeJ",Fun and wild moves on the roof!,21/Aug/22,Penmaen Head,Sport,French,Wales
Tan y Lan Kids,5a  *,Lead β,"Nika, Mark Wipat, Alina, ChloeJ",,21/Aug/22,Penmaen Head,Sport,French,Wales
Finale,5a  *,Lead β,"Nika, Mark Wipat, Alina, ChloeJ",,21/Aug/22,Castle Inn Quarry,Sport,French,Wales
Flowstone Shuffle,6b+  ***,Lead,"Mark Wipat, ChloeJ",Very good and quite intense!,21/Aug/22,Penmaen Head,Sport,French,Wales
The Long Goodbye,7b+  ***,Lead RP,ChloeJ,Brilliant and one of the best routes of this grade I've done in the UK. Has a bit of everything. Got to the chain with absolutely nothing left - what a fight!,20/Aug/22,Castell y Gwynt,Sport,French,Wales
Rub-a-Dub-Dub,7a  ***,Lead dog,ChloeJ,,17/Aug/22,The Diamond,Sport,French,Wales
Boat People,7c  ***,Lead dog,ChloeJ,,17/Aug/22,The Diamond,Sport,French,Wales
Cemetery Gates,E1 5b ***,2nd rpt,ChloeJ,,15/Aug/22,Dinas Cromlech,Trad,British,Wales
Cenotaph Corner,E1 5c ***,Lead O/S,ChloeJ,Quite the struggle for the grade! Glad to finally do this.,15/Aug/22,Dinas Cromlech,Trad,British,Wales
Animal Magnetism,7a+  ***,DWS G/U,EddieTJ,Absolutely brilliant. Best route all weekend!,14/Aug/22,Lulworth,Sport,French,England
Sliding Down the Banister,E4 6a *,DWS O/S,ChloeJ,,14/Aug/22,Lulworth,Trad,British,England
Window of Opportunity,E5 6b **,DWS dnf,"ChloeJ, EddieTJ",Got really close on this but ran out of energy for further attempts - one to come back for,13/Aug/22,Lulworth,Trad,British,England
Horny Lil' Devil,7a  ***,DWS G/U,EddieTJ,Very burly introduction to the DWS at Lulworth! Definitely worth having a spotter for the start as you are not clear of the cliff base for a few moves.,13/Aug/22,Lulworth,Sport,French,England
The Maypole,HVS 5b ***,DWS O/S,"ChloeJ, EddieTJ",Lovely excursion ,13/Aug/22,Lulworth,Trad,British,England
Staple Diet,7b  ***,Lead dog,ChloeJ,Really should have done this today. 3 goes and couldn&rsquo;t rollover to the finishing jug on the last burn. This seems to be turning into a bit of a nemesis.,06/Aug/22,Witches Point,Sport,French,Wales
Never Say Goodbye,E2 5c ***,Lead O/S,ChloeJ,Great climb with some good exposure. Didn&rsquo;t think there was stuff this good in the wye valley!,05/Aug/22,Wintour's Leap,Trad,British,England
War Hero,7a  ***,Lead dog,ChloeJ,It was very hot when I tried this yet I still felt this could have been stiff for 7a+/b.,31/Jul/22,Chapel Head Scar,Sport,French,England
Electric Warrior,7b  ***,Lead RP,ChloeJ,Brilliant route and quite unique for the UK!,31/Jul/22,Chapel Head Scar,Sport,French,England
Mid-air Collision/Flight Path,7b  ***,Lead dog,ChloeJ,Still finding my route fitness again. Found the route reading very tricky on this and felt rockfax could have made the distinction between lines much clearer (in the descriptions). Ended up finishing up True Path - not that it mattered as I dogged the s**t out of it.,31/Jul/22,Chapel Head Scar,Sport,French,England
Tufa King Hard,6c  ***,Lead rpt,"lo22, Steely12, ChloeJ",Clean i.e retro flashed. Felt pumpier than I remembered.,29/Jul/22,Chapel Head Scar,Sport,French,England
Witherslack Town,6c  ***,Lead dog,"ChloeJ, Steely12, lo22",,29/Jul/22,Chapel Head Scar,Sport,French,England
Sharp Pockets,V2  *,Sent x,ChloeJ,,24/Jul/22,Water-cum-Jolly,Bouldering,Font,England
A Bigger Tail,V6  **,Sent dnf,"richi3d10, Sid Sherborne, Niamh Gibson, ChloeJ",Fun to try this but ultimately didn't get far due to the dampness/exhaustion/left heel. Keen to come back better recovered and with the right conditions.,24/Jul/22,Water-cum-Jolly,Bouldering,Font,England
Peg's Right,V4  *,Sent O/S,"richi3d10, ChloeJ, Sid Sherborne, Niamh Gibson",Either did this or another problem between this and sharp pockets (not on ukc?).,24/Jul/22,Water-cum-Jolly,Bouldering,Font,England
Ascent of Woman Start,V4+  *,Sent dnf,ChloeJ,Hilarious to get shut down on this 2 years later.,23/Jul/22,Roaches Lower Tier,Bouldering,Font,England
The Greener Traverse,V4  ***,Sent rpt,ChloeJ,Always good to get back on this,23/Jul/22,Roaches Lower Tier,Bouldering,Font,England
Saul's Crack,HVS 5a ***,2nd rpt,ChloeJ,,23/Jul/22,Roaches Upper Tier,Trad,British,England
The Sloth,HVS 5a ***,2nd rpt,ChloeJ,,23/Jul/22,Roaches Upper Tier,Trad,British,England
Joe's Arête (Brown's Arete),V3  ***,Sent rpt,ChloeJ,Done dynamically as my ankle would not allow my usual static method.,23/Jul/22,Roaches Upper Tier,Bouldering,Font,England
Collywood,V5+  **,Sent dnf,ChloeJ,Tried most of the moves on this but could not put them together. Found the first 3 moves the hardest. Conditions were awful.,22/Jul/22,Ramshaw Rocks,Bouldering,Font,England
